Y,3,-1056342527,874045527,1397648853,277218455,589,3847526
Y,3,-1056342816,874045238,1397648564,125981576,589,-389528427
Y,3,563695538,874045527,437050150,958160373,589,-361789496
Y,3,-1056342527,437050150,1397648853,-680609642,589,375947591
Y,3,-1056342527,715445709,1834644230,1760568268,589,-1256948527
Y,3,-1056342816,715445420,1834643941,1609331389,589,-1650324480
Y,3,563695538,715445709,874045527,-1853457110,589,-1622585549
Y,3,-1056342527,874045527,1834644230,-1354451850,589,961675623
Y,3,-1056342527,715445709,1397648853,-902728723,589,2080190672
Y,3,-1056342816,715445420,1397648564,-1053965602,589,1686814719
Y,3,563695538,715445709,437050150,-221786805,589,1714553650
Y,3,-1056342527,874045527,1397648853,277218455,589,3847526
Y,3,1249161727,1834644230,1676044412,-757961823,589,-2021970020
Y,3,1249161438,1834643941,1676044123,-909198702,589,1879621323
Y,3,-1056342527,874045527,1676044412,962789984,589,-218271555
Y,3,1249161727,1397648853,1676044412,-1715789920,589,-1649869955
Y,3,1249161438,1397648564,1676044123,-1867026799,589,-2043245908
Y,3,-1056342527,437050150,1676044412,4961887,589,153828510
Y,3,1249161727,1397648853,1834644230,261935542,589,-469922777
Y,3,1249161438,1397648564,1834643941,110698663,589,-863298730
Y,3,-1056342527,437050150,1834644230,1982687349,589,1333775688
Y,3,1249161727,1397648853,1397648853,1893605847,589,-1427750874
Y,3,1249161438,1397648564,1397648564,1742368968,589,-1821126827
Y,3,-1056342527,437050150,1397648853,-680609642,589,375947591
Y,3,1249161727,1834644230,1834644230,1219763639,589,-842022842
Y,3,1249161438,1834643941,1834643941,1068526760,589,-1235398795
Y,3,-1056342527,874045527,1834644230,-1354451850,589,961675623
Y,3,1249161727,1397648853,1834644230,261935542,589,-469922777
Y,3,1249161727,1834644230,1397648853,-1443533352,589,-1799850939
Y,3,1249161438,1834643941,1397648564,-1594770231,589,2101740404
Y,3,-1056342527,874045527,1397648853,277218455,589,3847526
Y,3,1249161727,1397648853,1397648853,1893605847,589,-1427750874
Y,3,1249161727,1676044412,1834644230,39816461,589,1234320304
Y,3,1249161438,1676044123,1834643941,-111420418,589,840944351
Y,3,-1056342527,715445709,1834644230,1760568268,589,-1256948527
Y,3,1249161727,1834644230,1834644230,1219763639,589,-842022842
Y,3,1249161727,1676044412,1397648853,1671486766,589,276492207
Y,3,1249161438,1676044123,1397648564,1520249887,589,-116883746
Y,3,-1056342527,715445709,1397648853,-902728723,589,2080190672
Y,3,1249161727,1834644230,1397648853,-1443533352,589,-1799850939
Y,2,-1771695323,1834644230,88549566,589,-1549920737
Y,2,-1771695612,1834643941,83675870,589,-1701005313
Y,3,1249161727,1834644230,1676044412,-757961823,589,-2021970020
Y,2,-1771695323,1397648853,1720219871,589,1787218462
Y,2,-1771695612,1397648564,1715346175,589,1636133886
Y,3,1249161727,1397648853,1676044412,-1715789920,589,-1649869955
